c.003,cire-3.jpg,Acné sébacéo-pilaire. Acné varioliforme de Hébra-kaposi. A. arthritique de Bazin,"Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche de bois peinte en noir. Signature en bas à droite du moulage: J Baretta. Etiquette manuscrite sous la cire. Etiquette au chablon “498” en haut à gauche. Verso: décoloration du bois où sont plantés les clous. croquis à la mine de plomb. 498 et 68. Deux listes de bois dont une avec crochet.,http://www.biusante.parisdescartes.fr/histoire/images/index.php?refphot=STLCGE00498,entre 1881-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique Universitaire de Dermatologie, Lausanne"
c.006,cire-6.jpg,Ecthyma infantile aigu,"Dermatologie, vénéréologie",Dermatologie,3016,"Cire dermatologique (moulage) réalisée par Jules Baretta (signature J Baretta A Paris en bas à droite du moulage. Etiquette manuscrite en bas. Etiquette Clinique dermatologique universitaire, Lausanne en haut. Verso: décoloration autour des clous numéros: 660/210; 21; 4",http://www.biusante.parisdescartes.fr/histoire/images/index.php?refphot=STLCGE00660,entre 1891-1925,,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.036,cire-36.jpg,Naevus verruqueux systématisé zostéroïde,"Dermatologie, vénéréologie",dermatologie,3016,"cire dermatologique (moulage). 2 étiquettes manuscrites (clinique dermatologique universitaire, lausanne. vers",http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01478,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.015,cire-15.jpg,Folliculites agaminées. Kerion,"Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche de bois peinte en noir. Une étiquette manuscrite (titre). Signature de J Baretta. verso: 2 listes de bois et un crochet en métal. inscriptions: “G 217/968. Folliculites agaminées. Kérion. cf page 185. Dermatite main. 967. 49. 50 [biffé]” décoloration autour des clous.,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE00967,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.033,cire-33.jpg,Molluscum contagiosum de Battman,"Dermatologie, vénéréologie",Dermatologie,3016,"Cire dermatologique (moulage). deux étiquettes (titre et “clinique dermatologique universitaire, lausanne). Verso: 2 listes de bois et crochet en métal. Inscriptions:Molluscum contagiosum de battmann. 1672. 14. 7. et autre inscription indéchiffrable: acne va?",http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01672,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.054,cire-54.jpg,Trichophytie,"Dermatologie, vénéréologie",Dermatologie,3016,"Cire dermatologique (moulage) sur planche de bois peinte en noir. 2 étiquettes (titre et clinique dermatologique universitaire, Lausanne). Signature de J Baretta. verso: listes de bois avec crochet en metal. décoloration au niveau des clous inscriptions: 1687. 148. trichophytie. 1684 (ou 7). 15 .",http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01687,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.035,cire-35.jpg,Mycosis Fongoïde,"Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur bois peint en noir. 2 étiquettes (titre et clinique dermatologique...). signature de J BarettaVerso:2 listes et crochet en métal. décoloration autour des clous. inscriptions: mycosis fongoïde. 1706. 3. 37.,http://www.biusante.parisdescartes.fr/histoire/images/index.php?refphot=STLCGE01706,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.061,cire-61.jpg,Xanthome généralisé,"Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche de bois peinte en noir. étiquettes (titre t 1771). signature: J Baretta Parisverso: 2 listes de bois et crochet en métal. décoloration au niveau des clous. inscriptions: dermatol; 1770; 69,http://www.biusante.parisdescartes.fr/histoire/images/index.php?refphot=STLCGE01770,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.022,cire-22.jpg,Lichen à grosses papules,"Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur planche de bois peinte en noir. deux étiquettes (titre et N° 528). Signature J Baretta.Verso : 2 listes de bois et crochet en métal. inscriptions: 926; 6; Lichen à papules.,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE00528,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.025,cire-25.jpg,Lichen scrofulosorum avec cicatrice tuberculeuse,"Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche en bois peint en noir. 2 étiquettes (titre et 1656). Signature de J Baretta.Verso: 1696. 462 listes en bois et un crochet en métal. décoloration autour des clous.,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01656,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.001,cire-1.jpg,Acné pilaire dépilante,"Dermatologie, vénéréologie",Dermatologie,3016,"Cire dermatologique (moulage) sur planche en bois peinte en noir. 3 étiquettes (titre; 1099; 209); signature J BarettaVerso: décoloration au niveau des clous, 2 listes et crochet en métal, inscription: 70",http://www.biusante.parisdescartes.fr/histoire/images/index.php?refphot=STLCGE01099,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.038,cire-38.jpg,Pemphigus foliacé,"Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche en bois peinte en noir. 2 étiquettes (CDUL et titre). signature de J Baretta.Verso: inscriptions mine de plomb: pemphigus foliacél j baretta; 5; 1661; 2 listes de bois et crochet en metal,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01661,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.041,cire-41.jpg,"Prurigo de Hébra, chez un jeune sujet","Dermatologie, vénéréologie",Dermatologie,3016,Cire dermatologique (moulage) sur planche de bois peine en boire. Signée J Baretta. deux étiquettes (CDUL+titre)Verso: inscriptions: prurigo de hebra chez un jeune sujet; 1 ; 55,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE00862,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.034,cire-34.jpg,"Morphée, type de morphée du sein","Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur bois peint en noir. signature J Baretta. plusieurs étiquettes (1501; 207; titre)verso: inscription: 8; 1; 1501; listes en bois et crochet; décoloration clous.,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01501,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.016,cire-16.jpg,Folliculite papulo-tuberculeuse et confluente de nature indéterminée,"Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur bois peint en noir. 2 étiquettes (titre ° 1596). signature J Baretta.verso: 51 1996 folliculi face. lliste de bois et crochet,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01596,entre 1891-1925,assez bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.042,cire-42.jpg,Rhinosclérome. Exemple typique,"Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur bois peint en noir. 2 étiquettes (titre +CDUL). signature J Baretta.verso: 1615; 11; 1619; 9 ; rhinosclérome exemple typique. liste en bois et crochet,http://www.biusante.parisdescartes.fr/histmed/image?STLCGE01615,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
c.046,cire-46.jpg,Sclérodermie mutilante,"Dermatologie, vénéréologie",Dermatologie,3016,cire dermatologique (moulage) sur bois peint en noir. signature J Baretta A Paris. 2 étiquettes (CDUL et titre)verso: inscriptions: 1193; 4 ; 50,,entre 1891-1925,bon,Jules Baretta,"Cire, bois, textile, papier, métal.","Clinique universitaire de Dermatologie, Lausanne"
